"","side","start","end","duration_sec","date","startT","endT"
"184","left","2019-03-30 08:45:00.000-0400","2019-03-30 08:55:11.000-0400","611","2019-03-30","08:45:00","08:55:11"
"185","right","2019-03-30 09:10:00.000-0400","2019-03-30 09:30:44.000-0400","1244","2019-03-30","09:10:00","09:30:44"
"186","left","2019-03-30 11:35:00.000-0400","2019-03-30 11:45:37.000-0400","637","2019-03-30","11:35:00","11:45:37"
"187","right","2019-03-30 11:51:00.000-0400","2019-03-30 12:10:56.000-0400","1196","2019-03-30","11:51:00","12:10:56"
"188","left","2019-03-30 13:00:00.000-0400","2019-03-30 13:10:42.000-0400","642","2019-03-30","13:00:00","13:10:42"
"189","right","2019-03-30 13:20:00.000-0400","2019-03-30 13:25:02.000-0400","302","2019-03-30","13:20:00","13:25:02"
"190","right","2019-03-30 13:55:00.000-0400","2019-03-30 14:10:04.000-0400","904","2019-03-30","13:55:00","14:10:04"
"191","left","2019-03-30 17:22:00.000-0400","2019-03-30 17:40:01.000-0400","1081","2019-03-30","17:22:00","17:40:01"
"192","right","2019-03-30 17:50:00.000-0400","2019-03-30 18:10:15.000-0400","1215","2019-03-30","17:50:00","18:10:15"
"193","left","2019-03-30 20:43:00.000-0400","2019-03-30 20:55:43.000-0400","763","2019-03-30","20:43:00","20:55:43"
"194","right","2019-03-30 21:06:00.000-0400","2019-03-30 21:35:30.000-0400","1770","2019-03-30","21:06:00","21:35:30"
"195","left","2019-03-30 23:20:00.000-0400","2019-03-30 23:40:12.000-0400","1212","2019-03-30","23:20:00","23:40:12"
"196","right","2019-03-30 23:51:00.000-0400","2019-03-31 00:00:54.000-0400","594","2019-03-30","23:51:00","00:00:54"
"197","right","2019-03-31 00:15:00.000-0400","2019-03-31 00:30:08.000-0400","908","2019-03-31","00:15:00","00:30:08"
"198","left","2019-03-31 02:33:00.000-0400","2019-03-31 02:50:37.000-0400","1057","2019-03-31","02:33:00","02:50:37"
"199","right","2019-03-31 03:05:00.000-0400","2019-03-31 03:15:05.000-0400","605","2019-03-31","03:05:00","03:15:05"
"200","right","2019-03-31 05:59:00.000-0400","2019-03-31 06:20:54.000-0400","1314","2019-03-31","05:59:00","06:20:54"
"201","left","2019-03-31 06:40:00.000-0400","2019-03-31 06:55:18.000-0400","918","2019-03-31","06:40:00","06:55:18"
"202","right","2019-03-31 09:11:00.000-0400","2019-03-31 09:25:13.000-0400","853","2019-03-31","09:11:00","09:25:13"
"203","left","2019-03-31 09:30:00.000-0400","2019-03-31 09:45:20.000-0400","920","2019-03-31","09:30:00","09:45:20"
"204","right","2019-03-31 11:27:00.000-0400","2019-03-31 11:35:56.000-0400","536","2019-03-31","11:27:00","11:35:56"
"205","left","2019-03-31 12:06:00.000-0400","2019-03-31 12:20:03.000-0400","843","2019-03-31","12:06:00","12:20:03"
"206","right","2019-03-31 12:53:00.000-0400","2019-03-31 13:05:02.000-0400","722","2019-03-31","12:53:00","13:05:02"
"207","left","2019-03-31 15:05:00.000-0400","2019-03-31 15:15:19.000-0400","619","2019-03-31","15:05:00","15:15:19"
"208","right","2019-03-31 15:34:00.000-0400","2019-03-31 15:50:26.000-0400","986","2019-03-31","15:34:00","15:50:26"
"209","left","2019-03-31 18:10:00.000-0400","2019-03-31 18:30:27.000-0400","1227","2019-03-31","18:10:00","18:30:27"
"210","right","2019-03-31 19:35:00.000-0400","2019-03-31 19:50:39.000-0400","939","2019-03-31","19:35:00","19:50:39"
"211","left","2019-03-31 21:05:00.000-0400","2019-03-31 21:20:34.000-0400","934","2019-03-31","21:05:00","21:20:34"
"212","right","2019-03-31 21:31:00.000-0400","2019-03-31 21:40:53.000-0400","593","2019-03-31","21:31:00","21:40:53"
"213","left","2019-03-31 22:10:00.000-0400","2019-03-31 22:20:51.000-0400","651","2019-03-31","22:10:00","22:20:51"
"214","right","2019-04-01 00:16:00.000-0400","2019-04-01 00:25:59.000-0400","599","2019-04-01","00:16:00","00:25:59"
"215","left","2019-04-01 00:43:00.000-0400","2019-04-01 00:55:01.000-0400","721","2019-04-01","00:43:00","00:55:01"
"216","right","2019-04-01 03:20:00.000-0400","2019-04-01 03:35:27.000-0400","927","2019-04-01","03:20:00","03:35:27"
"217","left","2019-04-01 03:50:00.000-0400","2019-04-01 04:05:36.000-0400","936","2019-04-01","03:50:00","04:05:36"
"218","right","2019-04-01 06:26:00.000-0400","2019-04-01 06:35:40.000-0400","580","2019-04-01","06:26:00","06:35:40"
"219","left","2019-04-01 06:51:00.000-0400","2019-04-01 07:10:35.000-0400","1175","2019-04-01","06:51:00","07:10:35"
